frequency,impedance
1.1379999999999848,(-349.2514402857284+2405.3840234196227j)
1.1389999999999847,(-348.9449486301573+2403.27049607522j)
1.1399999999999846,(-348.6389948176995+2401.160675051487j)
1.1409999999999845,(-348.33357743426706+2399.0545506031185j)
1.1419999999999844,(-348.0286950707242+2396.9521130189355j)
1.1429999999999843,(-347.72434632286786+2394.85335262175j)
1.1439999999999841,(-347.42052979140385+2392.7582597682085j)
1.144999999999984,(-347.1172440819271+2390.666824848644j)
1.145999999999984,(-346.8144878048989+2388.57903828693j)
1.1469999999999838,(-346.5122595756268+2386.4948905403376j)
1.1479999999999837,(-346.2105580142429+2384.4143720993857j)
1.1489999999999836,(-345.90938174568373+2382.3374734876998j)
1.1499999999999835,(-345.60872939966765+2380.2641852618617j)
1.1509999999999834,(-345.30859961067597+2378.194498011279j)
1.1519999999999833,(-345.00899101793124+2376.128402358026j)
1.1529999999999831,(-344.70990226537685+2374.0658889567185j)
1.153999999999983,(-344.41133200165626+2372.0069484943574j)
1.154999999999983,(-344.1132788800934+2369.9515716902015j)
